title,ncode,userid,writer,story,length,
エーテルの夢　～夢が空を満たす二つの世界で～,N1401GS,2082358,天球とわ,魔力の代わりにナノマシンが大気を満たし、魔法の代わりに科学が高度に発達した世界。だがその科学は魔法を再現するには至らなかった。myTextEscapeEnterナノマシンの名は『エーテル』。有機物で作られ、人間と共生するそれに高い適正を持った主人公、ハル。エーテルが繋ぎ制御する社会において高い能力を持つ彼も、また科学で適わぬ魔法に夢見る一人だった。myTextEscapeEnterそんな中、クラスメイトのルナの紹介でハルはあるゲームと出会う。内容はよくあるファンタジー。魔法に憧れるハルは、そのゲームに興味を覚えプレイを開始する。その世界に満ちる魔力の名前、それもまた『エーテル』だった。myTextEscapeEnterせめて電脳空間の中だけでも魔法使いを楽しもうとするハル。だがゲーム開始直後に出会った王女アイリが切っ掛けで、そのプレイスタイルは徐々に変化していく事になる。myTextEscapeEnter二つの『エーテル』が満たす世界の物語にハルは足を踏み入れた。,647312,
異世剣聖,N0956GS,561137,鷹武手譲介,主人公の武宮士会は友人の十文字亮とともに、小さな鏡を通じて別の世界に召喚されてしまう。想い人の異界の姫・フィナと直接会えたことを喜ぶのも束の間、嵐で流された先は敵国の中！　士会はフィナを守りつつ、フィナの国、鷺を目指す。架空の戦記ものです。魔法は出てきませんが超科学がちょこっとあります。歴史小説風味。主人公が活躍し始めるまで間があります。書き溜めのあるところまでは毎日更新しますが、その後は超不定期更新に移行します。「ノベルアップ＋」様でも連載しております。,574410,
グランティル大紀行,N9357GR,622408,木村無効,　絶海の孤島に存在する凶悪犯を収監した刑務所ジャルダン。myTextEscapeEnter　そんな場所になんの落ち度もない少年リアンが送り込まれる。どうして自分がこんなところに？myTextEscapeEnter　途方に暮れるリアンだが、島の親切な人々に助けられ、島から出るまでの間をそこで過ごすことに。myTextEscapeEnter　しかし島の刑務所では、静かにある計画が進行していたのだ。myTextEscapeEntermyTextEscapeEnter　この物語は、リアンという気弱で非力な少年が、いろいろな経験を得て少しずつ成長していく過程を描写した成長物語です。,554114,
【完結】偉大なる北の魔女の正当なる血筋の後継者(以下略,N7749GR,557992,月食ぱんな,偉大なる北の魔女の森のクロエとリートフェルト王国の第二王子ルークの魔石を巡る物語。myTextEscapeEntermyTextEscapeEnter「今すぐ捨ててきなさい！！」と母に叱られたクロエは涙ながらに言い返す「いやよ、これは私が拾ったものだもん！！」まさか人間を拾うなんて。という所から始まる、ドタバタラブストーリー。myTextEscapeEntermyTextEscapeEnter「クロエ嬢が言ったんだ、本能に忠実にって」「言ったけど、時と場所を考えて」果たしてこの二人はきちんと人並みに恋愛ができるのか？myTextEscapeEntermyTextEscapeEnterそんな二人を取り巻くだいぶ個性的な面々達と最終決戦「トマトジュースの呪いになんて負けない！！」と張り切るクロエは果たして身近な世界をルークと共に闇から救えるのか。myTextEscapeEntermyTextEscapeEnterといった、コメディよりのお話です。myTextEscapeEnter全１０章と最終章。各ページ3000～6000とバラつきがあります。myTextEscapeEntermyTextEscapeEnter初投稿作品のためお見苦しい点が多々、あるとは思いますが、お楽しみいただけると幸いです。myTextEscapeEnterカクヨム様にも掲載開始しました。こちらが先行になります。完結しました。,513120,
眷属達と月のない異世界で楽園を,N6602GR,2043621,Pierrot,現代のとある高校、生徒会室に居た８人が異世界に強制召喚された挙句、召喚仲間から追放されてしまう主人公。myTextEscapeEnterこの世界には人種・エルフ種・ドワーフ種・竜人種の理知的な種族が暮らしていた。myTextEscapeEnter他にも魔物種・魔獣種・モンスターに分類される危険な生物まで生息していて、魔族の国まであった。myTextEscapeEnter放浪中、これまた強制的に精神だけを過去に飛ばされ、見知らぬ人物の頭の中で数百年も・・・・myTextEscapeEnterただ生き抜くだけの目標から『眷属捜索』と言う明確な目的が与えられる。myTextEscapeEnter異世界で仲間から追放され絶望的な孤独だった主人公が、眷属捜索の旅に出て様々な仲間を得ていくことになる。myTextEscapeEntermyTextEscapeEnterやがてエルフから譲られた大森林を開拓して領地とし、ただの集団から村へ、そして町へと成長させていく。myTextEscapeEnter主人公の奇縁体質から様々なトラブルに巻き込まれながら、仲間に助けられて成長を続けていく。myTextEscapeEnterしかし、この世界の真理に近付いたことで・・・・myTextEscapeEntermyTextEscapeEnter主人公は異世界で言えば結構強いですが、最後までチート的強さなどは身に付きません。myTextEscapeEnter探し出した７人の眷属が規格外と言う、主人公から見て他力本願的な部分が多い物語になっています。myTextEscapeEnter,1078440,
麒麟将,N6478GR,1938657,花鏡,とある青年が目覚めた世界、そこは人種至上主義が蔓延り、『人間』以外は徹底して家畜、奴隷として扱われる世界だった。myTextEscapeEntermyTextEscapeEnter※某家畜人のオマージュを大量に含みますが、最終的にはハッピーエンドになる予定ですので気長にご覧頂ければ幸いです。,542345,
世界を救ったその先で　－勇者とダメ天使の異世界記－　,N3851GR,390984,本堂ゆうき,予定調和だな、と世界を救った少年は思う。myTextEscapeEnter世界の危機を退けた事、それすなわち次は自分が畏怖を向けられるというmyTextEscapeEnter最初から予想していた展開に辟易していた勇者は召喚された地球の少年だった。myTextEscapeEntermyTextEscapeEnter真っ当な賞賛も得られず、用済みとばかりに向けられる殺意の刃。myTextEscapeEnterそれさえも予期していた少年はあっさりと逃げ延び、陰ながら助力してくれたmyTextEscapeEnter神と邂逅し、一つの提案を受けた。myTextEscapeEntermyTextEscapeEnter元の世界に帰るのも良いが、もう一度別の冒険をしてみないか？　と。myTextEscapeEntermyTextEscapeEnterどちらを選んでも神は褒美をくれるとは言った。myTextEscapeEnterけれども少年はしばし考えた後、決断する。myTextEscapeEntermyTextEscapeEnter「なら、違う世界に行ってみたいです。出来れば、今度は世界の思惑に振り回されない形で」myTextEscapeEnter「……確かに君には選択の余地が無かったのう」myTextEscapeEntermyTextEscapeEnter不憫であった少年に、神は更なるボーナスまでつける。myTextEscapeEnter世界を救った褒美だと。myTextEscapeEntermyTextEscapeEnter「この天使はお詫びに付けてあげよう。君に絶対服従の美少女天使じゃぞ」myTextEscapeEnter「性格以外は最高なんで是非とも頂きます」myTextEscapeEnter「あれ！？　一緒に旅してきたのに評価厳しくないですか！？」　myTextEscapeEntermyTextEscapeEnter色々と問題のあるダメ天使の少女と共に世界を救うという難事を成し遂げた少年が選んだ道。myTextEscapeEnterそれは今度こそ自らの意思で「冒険」する事。myTextEscapeEnter可能限りの神の助力を受けて、次こそはという希望を胸にmyTextEscapeEnter新たな世界に旅立つ少年――ジン・アオバと彼を振り回すであろうダメ天使レミィ。myTextEscapeEntermyTextEscapeEnter「うーん、気の毒だから見逃してあげたいんだけど、ボクの存在意義に関わるからね。myTextEscapeEnter　そーれ、ダイスロール」myTextEscapeEntermyTextEscapeEnter　だが、最後の最後で運命を司る神に見つかった少年と天使。myTextEscapeEnter　けれどもバカップルの二人は逞しくその道の先を進んでいくのだった。myTextEscapeEntermyTextEscapeEntermyTextEscapeEnter※　基本毎日１８時に更新します。時々休みます。,588084,
鏡の世界,N2314GR,423001,現野翔子,　高校生活が始まる前の穏やかな時間を過ごしていた花房羽衣は、ある朝、鏡の向こうの世界に入り込んでしまう。そこは同じような風景なのに見知った人のいない世界。羽衣はその世界で日常生活を送りつつ、両親の下へ帰る方法を探していく。myTextEscapeEntermyTextEscapeEntermyTextEscapeEntermyTextEscapeEnter　ノベルアップ＋にも投稿しております。,651500,
戦慄のイクタベーレ ～敗退せし者達の母国奪還の軌跡～,N2254GR,2075838,ユウキ,暗黒魔王軍……後にバルマーラ帝国という国を樹立させる人の言葉を話す化物達が、200年前に封印された暗黒魔王ガディウスを復活させるべくユグドラシル大陸を制覇に動きだす。myTextEscapeEntermyTextEscapeEnterその侵攻は止まる事を知らず大陸の中心である聖王国ユグドラシル・ニーベが陥とされ、その魔の手は、この物語の主人公アルスエードの祖国イクタベーレまで伸びる。myTextEscapeEntermyTextEscapeEnterその戦いのさなか父を母を姉を失い、そして祖国を失う。myTextEscapeEntermyTextEscapeEnterこれは戦いを嫌い避けようとし、理想と現実の狭間で翻弄されるアルスエードが母国イクタベーレを取り戻す軌跡,545859,
どうしてこうなった道中記-サブスキルで面倒ごとだらけ-,N2249GR,2075849,すずめさん,ある日、友達に誘われ始めたMMORPG[アルバスクロニクルオンライン]誘われるままにゲームを始め、myTextEscapeEntermyTextEscapeEnter自分の思う通りにキャラを作り始めるのだが…たった一つのスキルが主人公の人生を笑いあり涙ありのmyTextEscapeEntermyTextEscapeEnter波乱万丈な冒険物語へと導くドタバタ冒険譚！！,513576,
コズミックトラベラー,N2031GR,2071849,星野 ラベンダー,流星群の夜。裏山へ落ちる謎の光を目撃した宮沢 美月は、体は男性、頭部がブラウン管テレビのロボットと出会う。myTextEscapeEnterココロという赤ちゃんを連れた、宇宙から来たロボット〈ハル〉に美月は戸惑いつつも、無感情で物知りなハルと友達になろうとする。myTextEscapeEntermyTextEscapeEnterだがある日、美月はハルが謎のロボットに襲われているのを発見する。myTextEscapeEnterハルが作ったという道具の力により変身した美月は、戦ってどうにか相手を撃退。myTextEscapeEntermyTextEscapeEnter「私達は、追われている身なんだ」myTextEscapeEnter「どうか、私達を守ってはくれないか」myTextEscapeEntermyTextEscapeEnterハルが打ち明けた通り、敵組織の刺客達は次々と襲いかかる。myTextEscapeEnterしかし一方で、少しずつ仲間も集まっていく。myTextEscapeEntermyTextEscapeEnter壊れた宇宙船が直るまでの間、そんな仲間達と共に日常や冒険、ときに戦いの日々を過ごす、ヒューマンドラマ×ジュブナイル小説。myTextEscapeEntermyTextEscapeEnter「人は、皆旅人だ」myTextEscapeEnter――地球人も、宇宙人も。人間も、ロボットも 。――myTextEscapeEntermyTextEscapeEnter【cosmic】宇宙の、宇宙的規模の、宇宙を思わせるように神秘的なmyTextEscapeEnter【traveler】旅人、旅行者myTextEscapeEntermyTextEscapeEnter毎日更新中です！myTextEscapeEnter※Part1以外は、基本的に1章(1Chapter)完結です。myTextEscapeEnter※科学の専門知識などは一切必要ありません。myTextEscapeEnter※戦闘シーンがありますが、グロテスクなどの過激描写はありません。myTextEscapeEnter※この物語は、実在する人物、団体、名称等とは一切関係がありません。myTextEscapeEnter※特定の団体や個人の思想及び主張を、批判または推奨するものではありません。 myTextEscapeEnter※小説家になろう、ノベルアップ＋にも同作品を掲載しています。,725780,
ノーマディック・スプライサー,N8786GQ,1261606,みやびつかさ,西暦の過ぎ去った未来。人々は健忘誘発感染性構造体――オブリビオン・ウイルス――によって頭に記憶チップを埋め込み暮らしていた。myTextEscapeEnter電子の記憶力とロボットやアンドロイドによるオートメーション化で余裕を手にした人類は過去を嘲笑う。myTextEscapeEnterそんな世界の片隅に、記憶喪失のアンドロイドの兄妹が人々の悩みを解決する闇医者――スプライサー――を開業した。myTextEscapeEntermyTextEscapeEnterふたりの正体と目的、そしてその存在意義は？myTextEscapeEnter彼らはスプライサー業を営むうちに、世界を裏で操る陰謀へと巻き込まれていく……。myTextEscapeEntermyTextEscapeEnter少しズレたアンドロイドの男が、カウンセリングをしたり、筋トレしたり、戦闘機で体当たりをしたり、戦闘ロボに乗ったり、myTextEscapeEnter二股なラブロマンスでビンタされたりしてヒーローを目指すSFヒロイックアクション。myTextEscapeEnterキミも一緒に未来にパンチだ！myTextEscapeEntermyTextEscapeEnter(完結予定、月曜・木曜を除く毎週５日、夕方１７時に更新。更新期間は12/19～3/10です）myTextEscapeEnter※この作品はノベルアップ+さんにも同時更新で掲載しています。,501081,
ガルディシア帝国の興亡,N6624GQ,2068443,酒精四十度,『ガルディシア帝国の興亡』異世界にある、帝国の興亡記です。myTextEscapeEnter数百年もの間、バラディア大陸は三か国の戦乱の世が続いていた。北のダルヴォート王国、中央のエウグスト王国、南方のガルディシア帝国である。しかし南方に位置する鉱山と工業の国ガルディシア帝国は遂に大陸統一を果たしたのだ。勢いに乗るガルディシア帝国は満を持して隣の大陸モートリア制覇に乗り出した。そして世界を我が手に！帝国皇帝ガルディシアIII世の野望は続く！そんな帝国の前に異世界から大魔導士によって転移させられた国家、日本が…myTextEscapeEnter【第一章】ガルディシアと日本の接触編01～74、【第二章】ガルディシア発展編01～87、【第三章】ガルディシア回天編01～76、【第四章】ガルディシア帝国の落日編01～（現在進行中）,648139,
空を夢見た少女はゲームの世界で空を飛ぶ,N5497GQ,1345031,アル,――物心ついた時には、自分と同じ名を持つ青く広大な世界に心惹かれていた。myTextEscapeEnterでも、私にはあの場所まで飛んでゆくための翼がない。myTextEscapeEntermyTextEscapeEnterどれだけ手を伸ばして求めても、どれだけ強く願っても届かない、はるか高く遠い夢の世界。myTextEscapeEntermyTextEscapeEnterだから、私は……。myTextEscapeEntermyTextEscapeEnterゲームの世界で、空を飛ぶ！myTextEscapeEntermyTextEscapeEntermyTextEscapeEnter航空機パイロットとフライトアテンダントの両親を持つ少女｜青木蒼空《あおきそら》myTextEscapeEnter『空好き』という項目を遺伝子に組み込まれ産まれた彼女は、両親の英才教育の成果もあり立派な大空ジャンキーへと成長した。myTextEscapeEntermyTextEscapeEnter三度の飯より空が好き、を地で行く彼女が日々大地に脚を付けるだけの生活で満足できなくなるのに、そう時間はかからなかった。myTextEscapeEnterだが、人間である、ましてや高校生になりたて彼女に自分の力で空を飛ぶことは叶わない。myTextEscapeEnter見上げればそこにあるのに、手を伸ばせば届きそうなのに、届くことも掴むことも出来ない遠い世界を夢見る蒼空。myTextEscapeEntermyTextEscapeEnterそんな時弟から見せてもらったＶＲゲームのＣＭ。myTextEscapeEnterそこでは翼を持つ機械の鎧、エグゾアーマーと呼ばれるパワードスーツを身に付けたプレイヤーが、自由自在に大空を飛んでいたのだ。myTextEscapeEntermyTextEscapeEnterＣＭが終わるな否や家を飛び出す蒼空。myTextEscapeEntermyTextEscapeEnterそうだ、そうだよ！　現実世界では無理でも、ゲームの世界でなら…………空を飛べる！myTextEscapeEntermyTextEscapeEntermyTextEscapeEnterこれは、大空が大好きで止まない少女が、ゲームの世界で思う存分空を飛ぶ物語である……はず。myTextEscapeEntermyTextEscapeEntermyTextEscapeEnterこの物語はフィクションです。myTextEscapeEnter実在する人物、団体名等とは一切関係ありません。myTextEscapeEntermyTextEscapeEnter二章『Operation Skip Shot』編完結保障。myTextEscapeEnter一日一話、他者視点はまとめて更新。myTextEscapeEntermyTextEscapeEnter本編第20話 DAY１出撃　主人公発艦シーンが漫画になりました！myTextEscapeEnterhttps://mobile.twitter.com/fio_alnado/status/1346294548423610368myTextEscapeEnter迫力満点のカタパルト発艦。myTextEscapeEnterこの物語がどういったものなのかが一目でわかります。myTextEscapeEnterぜひご覧ください。myTextEscapeEntermyTextEscapeEnter日間ランキング１位達成！myTextEscapeEnter週間ランキング１位達成！！myTextEscapeEnter月間ランキング１位達成！！！myTextEscapeEnter皆さまのおかげで達成出来ました、本当にありがとうございます！myTextEscapeEnter当作品はノベルアッププラスにも投稿しています。myTextEscapeEnter,750830,
